rid,rkey,date,status,contact.id,comments,ip.address,long,lat,county,city,region,postal,url,url2,url3,url4,intro logic,agree,userid,user,time,page.logic1,Copy of userid,policy.placement,healthcare.law,imm.law,photo.nonphoto.pk,hr,ns,jn,hr2,jn2,ns2,page.logic,am1,mm1,mm2,am2,am11,am21,mm11,mm21,correct.or.conf,rg,sb,rg.rg,rg.ad,rg.jc,rg.ak,how.sure,sb.jb,sb.sb,sb.ks,sb.tv,health.ins.y,health.ins.r,health.ins.d,illegal.y,illegal.r,illegal.d,ideology.n,ideology,news.wsj,news.nyt,news.wp,news.usa,news.other,news.other.s,tv.cbs,tv.fox,tv.pbs,tv.nbc,tv.other,tv.abc,tv.others,cable.fox,cable.msnbc,cable.cspan,cable.bbc,cable.other,cable.cnn,cable.others,radio.npr,radio.rl,radio.ms,radio.other,radio.others,web.huff,web.drudge,web.portal,web.other,web.other.s,tv.days,attention,talk.politics,talk.other.politics,pid1,pid.other,pid2.r,pid2.d,pid2.other,therm.b,therm.r,therm.d,therm.w,therm.h,therm.l,therm.ill,open.closed,ww2.cas,fem.death,ww2.cas2,fem.death2,deport,deport.sure,imm,imm.sure,steagall,healthcare.pk1,healthbill,death.panel,medicare,future.increase,cuts.benefits,illegal,single.payer,upper.class,mammograms,tax.100k,welfare,blk.welfare,dkencouraging.dk.discouraging,reagan,clinton,wbush,reagan2,clinton2,wbush2,obama2,pol.interest,vote.2010,contribute1,contact,attend,def.party,def.other,healthcare.law2,imm.law2,structure,certain,oneside,changeview,confident,curiosity,considerate,independence,obedience
366,223243,9/13/2010 1:01,Complete,,,71.193.197.188,-122.6554,45.5184,United States,Portland,OR,,,,,FY101304,,I agree to participate,FY101304,,32,,,end,,,photo,,,,Harry Reid,,,,,,,,,Chancellor of Germany,,Don't Know,regular,Don't Know,Stephen Breyer,,,,,,,,,,3,7,2,6,2,6,,Slightly liberal,,,Washington Post,, Other ,Oregonian,CBS,,PBS,,,,,,,,,,CNN,,NPR,,,,,,,,,,5,A lot,3,4,Democrat,,,Not very strong,,50,40,70,50,50,70,40,open,,,Russia,cancer,Deny aid to known illegal immigrants,4,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,8,Don't Know,Increases the Medicare payroll tax for upper‐income Americans,Limits future increases in payments to Medicare providers,,,,,,,,,30%,20%,10%,Branch B,,,,Increased,Decreased,Increased,Increased,8,10,10,10,10,Democrats,,9,1,5,5,5,6,2,2,3,3,6
365,223209,9/12/2010 23:24,Complete,,,76.88.126.75,-117.2481,32.8667,United States,La Jolla,CA,92037,,,,FY101402,,I agree to participate,FY101402,,26,,,start,9,0,photo,,,,,,,,,,,,,Chancellor of Germany,,Don't Know,regular,Don't Know,Couldn't Say,,,,,,,,,,2,7,2,7,2,6,,Slightly liberal,,,,, Other ,"San Diego Union Tribune, La Jolla Light, La Jolla Village News",,,,,Other,,"CNN, MSNBC",,MSNBC,CSPAN,BBC,,CNN,,,Rush Limbaugh,Michael Savage,,,Huffington Post,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",Other,Facebook,5,A moderate amount,1,5,Other,Green,,,,70,40,70,70,70,70,70,open,,,Russia,Heart Attack,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,5,Don't Know,Couldn't say,Couldn't say,,,,,,,,,5%,5%,8%,Branch A,Increased,Decreased,Increased,,,,,2,9,6,10,7,Democrats,,,,5,5,5,5,5,1,1,1,7
364,223207,9/12/2010 23:22,Complete,,,98.216.186.49,-71.1787,42.3723,United States,Watertown,MA,,,,,FY101655,,I agree to participate,FY101655,,35,,,start,9,2,photo,,,,senate majority leader,supreme court justice,chief of staff,,,,senator,president,,,,,regular,Don't Know,Stephen Breyer,,,,,,,,,,2,7,2,6,2,5,,Liberal,,NY Times,,, Other ,Boston Globe,CBS,,,NBC,,ABC,,,,,,,CNN,,NPR,,,,,,,,Other,cnn.com,4,A moderate amount,1,5,Independent,,,,Closer to Democratic Party,100,30,100,100,100,100,100,open,,,Japan,heart disease,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",3,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,10,Bill Clinton,Couldn't say,Cuts benefits to existing Medicare patients,,,,,,,,,28%,2%,5%,Branch B,,,,Remained the Same,Decreased,Increased,Increased,4,3,1,1,8,Democrats,,,,3,5,4,3,4,3,1,3,5
363,223199,9/12/2010 22:57,Complete,,,76.200.138.210,-122.0668,38.258,United States,Fairfield,CA,,,,,FY101556,,I agree to participate,FY101556,,41,,,end,,,nonphoto,Senator from Nevada,Pres of France,Homeland security,,,,,Prime minister of Germany,Head of Repubs in senate,,,,,,,percent,,,10,0,0,0,,0,0,0,0,1,6,4,6,7,4,,Slightly liberal,,,,, Other ,SF Chronicle -- local,CBS,,PBS,NBC,,,,,,,BBC,,,,NPR,,,,,,,,,,6,A great deal,7,6,Democrat,,,Strong,,50,25,75,50,,,,open,,,russia,heart disease,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,9,Don't Know,,,3,0,0,3,0,0,3,0,33%,20%,2%,Branch B,,,,Remained the Same,Decreased,Increased,Remained the Same,7,10,10,6,4,Democrats,,7,0,3,3,6,5,4,2,2,4,6
307,221453,9/10/2010 23:17,Complete,,,24.91.193.227,-71.0677,42.3425,United States,Boston,MA,,,,,FY101608,,I agree to participate,FY101608,,44,,,end,,,photo,,,,,,,,,,,German Prime Minister,,,,Don't Know,percent,,,9,,,,,,8,,,3,6,2,6,3,5,,Moderate,,NY Times,,USA Today, Other ,"Economist, Financial Times",,,PBS,,,,,Fox News,MSNBC,,BBC,,CNN,,NPR,,, Others ,BBC/WBUR,,Drudge Report,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,7,A lot,7,8,Independent,,,,Equally close to both,70,50,50,70,70,70,70,closed,[Erstwhile] Soviet Union,Heart Disease,,,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,5,Don't Know,,,0,0,0,0,0,0,0,0,35%,5%,8%,Branch B,,,,Increased,Decreased,Increased,Increased,8,9,10,9,10,Republicans,,6,3,4,5,5,5,3,3,3,5,5
308,221457,9/10/2010 23:18,Complete,,,70.57.226.104,-110.9559,32.2369,United States,Tucson,AZ,,,,,FY101328,,I agree to participate,FY101328,,223,,,start,5,2,nonphoto,Nevada senator,France prime minister,Homeland security secretary,,,,,German chancellor,senator,,,,,,,regular,Don't Know,Couldn't Say,,,,,,,,,,6,7,1,4,1,4,,Moderate,,NY Times,,, Other ,                                     ,,,,,Other,,don't watch TV,,,,, Others ,,don't watch TV,NPR,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",Other,BBC SSL feed,0,Not at all,5,7,Independent,,,,Closer to Republican Party,100,30,30,90,100,100,30,closed,Poland,Heart Disease,,,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",5,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,9,Don't Know,Does not reimburse routine mammograms for women younger than 50,Couldn't say,,,,,,,,,37%,2%,10%,Branch B,,,,Don't Know,Decreased,Increased,Remained the Same,6,10,0,3,5,Don't Know,,,,2,6,5,4,3,2,2,5,5
309,221469,9/10/2010 23:34,Complete,,,66.74.87.203,-118.5996,34.2298,United States,Canoga Park,CA,91304,,,,FY101329,,I agree to participate,FY101329,,15,,,end,,,photo,,,,US Senate Majority Leader,Secretary of Homeland Security,President of France,,,,US Senate Minority Leader,Chancellor of Germany,,,,,percent,,,10,,,,,,10,,,3,7,1,6,2,5,,Moderate,Wall Street Journal,NY Times,,,,,,,,,,,,,,,BBC,,CNN,,,,,,,Huffington Post,Drudge Report,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,A little,7,6,Republican,,Not very strong,,,100,60,60,100,100,100,60,open,,,USSR,Heart disease,Question any person whom they suspect to be an illegal immigrant for their papers,5,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,10,Bill Clinton,,,0,0,8,0,0,0,10,0,30%,30%,40%,Branch A,Increased,Decreased,Increased,,,,,10,10,10,10,10,Republicans,,4,3,1,7,7,2,2,2,2,6,7
310,221481,9/11/2010 0:14,Complete,,,66.245.17.151,-122.4107,37.6861,United States,Brisbane,CA,94005,,,,FY101085,,I agree to participate,FY101085,,57,,,start,7,2,photo,,,,,,,,,,,governor of Arizona?,,,,Don't Know,percent,,,0,0,0,0,,0,0,0,0,2,7,3,5,2,4,,Liberal,,,,,,,,,,,,,,,,,,,,,NPR,,,,,,,,,,0,,1,2,Independent,,,,Closer to Democratic Party,50,20,60,50,50,50,30,closed,[Erstwhile] Soviet Union,Heart Disease,,,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",5,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,9,Don't Know,,,0,0,7,0,0,0,0,0,25%,5%,5%,Branch A,Increased,Decreased,Increased,,,,,6,10,9,8,6,Other,they're both cowardly slimebags,,,2,5,3,3,3,3,2,2,7
311,221483,9/11/2010 0:21,Complete,,,67.116.242.105,-122.1484,37.7035,United States,San Leandro,CA,,,,,FY101150,,I agree to participate,FY101150,,39,,,start,9,2,nonphoto,Don't know  (I live overseas),French President,US Cabinet member -Secty Homeland Security - previously gov Arizona,,,,,German Chancellor,again - I have lived overseas for 10 years.  I believe he is an American politician,,,,,,,regular,Don't Know,Stephen Breyer,,,,,,,,,,3,7,3,4,2,4,,Slightly liberal,,NY Times,,, Other ,"London Times, International Herald Trib,",,,PBS,,Other,,BBC You could not pay me to watch Fox regularly.  I find it appallingly biased.,,,,BBC,,,,NPR,,,,,,,,Other,NPR radio site,0,A lot,7,3,Democrat,,,Strong,,This question is distasteful.  I try to conside people as individuals rather than groupmembers.,,,,,,,closed,Couldn't say,Don't Know,,,,,,,,,,,,,,,,,,,,,Branch B,,,,Increased,,,,2,10,8,7,7,Democrats,,,,4,4,5,4,,,,,
312,221486,9/11/2010 0:11,Complete,,,174.21.45.65,-122.3326,47.5951,United States,Seattle,WA,,,,,FY101324,,I agree to participate,FY101324,,16,,,start,8,4,photo,,,,"Senator from Nevada, House Majority Leader",,,,,,,,,Chancellor of Germany,,Don't Know,regular,Don't Know,Couldn't Say,,,,,,,,,,3,7,2,5,1,6,,Slightly liberal,,,,, Other ,"slate.com, cnn.com, seattle times.com, economist",,,,,,,,,,,,,,,,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,,1,5,Democrat,,,Strong,,60,30,85,60,60,60,40,closed,[Erstwhile] Soviet Union,Heart Disease,,,Question any person whom they suspect to be an illegal immigrant for their papers,4,Can  ask anyone they suspect of being an illegal immigrant for their papers,4,Bill Clinton,Couldn't say,Limits future increases in payments to Medicare providers,,,,,,,,,32%,15%,10%,Branch A,Increased,Decreased,Increased,,,,,3,10,6,5,10,Democrats,,,,2,4,5,3,4,3,3,5,3
313,221501,9/11/2010 0:39,Complete,,,76.216.148.146,-121.9164,37.7186,United States,Dublin,CA,94568,,,,FY101554,,I agree to participate,FY101554,,13,,,end,,,nonphoto,,,,,,,,,,,,Don't Know,,Don't Know,,percent,,,8,2,5,5,,8,8,8,8,7,7,1,3,3,7,,Very liberal,,,,,,,,,,,,ABC,,,,,,,CNN,,,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,4,A lot,1,8,Democrat,,,Not very strong,,100,50,50,100,100,100,40,closed,Poland,Heart Disease,,,Question any person whom they suspect to be an illegal immigrant for their papers,5,Can escort illegal immigrants back across the border,5,George W. Bush,,,0,0,10,0,5,0,5,5,20%,25%,25%,Branch B,,,,Increased,Decreased,Increased,Increased,3,10,0,10,0,Republicans,,4,5,2,5,7,5,3,3,1,3,5
314,221599,9/11/2010 7:36,Complete,,,207.237.226.129,-73.9554,40.6525,United States,Brooklyn,NY,,,,,FY101417,,I agree to participate,FY101417,,18,,,end,,,nonphoto,US Senate Majority Leader,President of France,US Secretary of Homeland Security,,,,,German Chancellor,US Senate Minority Leader,,,,,,,percent,,,10,,,,,,8,2,,2,6,2,6,2,5,,Slightly liberal,,NY Times,,,,,,,,,,,,,,,,,,,NPR,,,,,,,,,,0,A great deal,3,3,Democrat,,,Not very strong,,,30,70,,,70,40,closed,[Erstwhile] Soviet Union,Heart Disease,,,Question any person whom they suspect to be an illegal immigrant for their papers,6,Can  ask anyone they suspect of being an illegal immigrant for their papers,8,Bill Clinton,,,0,0,5,3,0,0,3,3,30%,2%,10%,Branch B,,,,Increased,Decreased,Increased,Increased,8,10,8,6,8,Democrats,,8,1,3,6,4,4,2,3,3,3,5
315,221612,9/11/2010 7:48,Complete,,,78.108.169.9,35.5097,33.8719,Lebanon,Beirut,4,,,,,FY101398,,I agree to participate,FY101398,,79,,,start,7,9,nonphoto,,French President,,,,,,German Chancellor,,,,,,Don't Know,,percent,,,5,,,,,,,,,1,5,1,4,1,6,,Slightly conservative,,,,,,,,,,,,,,,,,,,CNN,,,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,A moderate amount,3,5,Republican,,Not very strong,,,70,100,100,100,70,100,40,open,,,Soviet Union,Cancer,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,2,Don't Know,,,2,8,8,0,0,5,6,5,40%,5%,30%,Branch A,Decreased,Increased,Increased,,,,,5,0,0,0,0,Republicans,,,,2,7,4,3,2,4,4,3,6
316,221650,9/11/2010 8:54,Complete,,,76.88.85.66,-117.0763,32.8943,United States,San Diego,CA,92131,,,,FY101740,,I agree to participate,FY101740,,53,,,end,,,photo,,,,No idea,No idea,No idea,,,,No idea,No idea,,,,,regular,Don't Know,Couldn't Say,,,,,,,,,,7,7,1,6,1,7,,Slightly conservative,Wall Street Journal,,,,,,CBS,,PBS,NBC,,ABC,,,MSNBC,,,,CNN,,,,,,,,,,,,3,A little,0,5,Other,Ex-Republican,,,,50,40,30,60,60,85,80,closed,Couldn't say,Heart Disease,,,Question any person whom they suspect to be an illegal immigrant for their papers,6,Can  ask anyone they suspect of being an illegal immigrant for their papers,10,Ronald Reagan,Does not reimburse routine mammograms for women younger than 50,Allows a government panel to make decisions about end‐of‐life care for people on Medicare,,,,,,,,,28%,15%,30%,Branch A,Decreased,Decreased,Increased,,,,,2,10,0,1,3,Don't Know,,2,0,2,6,7,3,2,3,3,3,7
317,221675,9/11/2010 9:29,Complete,,,173.61.148.40,-74.6597,40.3756,United States,Princeton,NJ,8540,,,,FY101331,,I agree to participate,FY101331,,54,,,end,,,photo,,,,senate majority leader,economic adviser,treasury secretary,,,,senate minority leader,republican senate candidate nevada,,,,,percent,,,10,0,0,0,,0,10,0,0,1,7,3,6,2,5,,Very liberal,,NY Times,,,,,,,PBS,NBC,,,,,MSNBC,,BBC,,CNN,,NPR,,,,,,,,,,7,A great deal,7,1,Democrat,,,Strong,,,,,,,,,open,,,Russia,heart disease,Question any person whom they suspect to be an illegal immigrant for their papers,6,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,8,Bill Clinton,,,0,0,10,0,0,0,0,0,15%,1%,2%,Branch B,,,,Increased,Decreased,Increased,Increased,10,10,9,10,4,Democrats,,10,0,1,6,2,2,2,4,4,4,4
318,221696,9/11/2010 9:48,Complete,,,175.137.45.197,112.5,2.5,Malaysia,,,,,,,FY101392,,I agree to participate,FY101392,,43,,,start,8,1,photo,,,,,,,,,,,,,Don't Know,,Senate Minority Leader,regular,Don't Know,Couldn't Say,,,,,,,,,,2,3,1,4,1,6,,Slightly liberal,,NY Times,,,,,,,,,,,,,,,,,,,NPR,,,,,,,,,,0,A little,1,5,Democrat,,,Strong,,,,,,,,,open,,,Germany,Cancer,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,7,Jimmy Carter,,,,,,,,,,,28%,,,Branch A,Don't Know,Decreased,Increased,,,,,5,10,6,1,5,Don't Know,,,,5,3,6,3,3,2,2,2,5
319,221748,9/11/2010 10:36,Complete,,,66.241.85.4,-122.5298,42.1563,United States,Ashland,OR,97520,,,,FY101460,,I agree to participate,FY101460,,29,,,start,6,0,nonphoto,"Nebraska Senator, Dem. leader",Russian president,US cabinet--health,,,,,pres. of Germany,Minority leader Senate--rep.,,,,,,,percent,,,6,,,,,,10,,,2,7,5,5,2,4,,Very liberal,,NY Times,Washington Post,, Other ,Ashland Daily Tidings,,,,,Other,,don't watch tv,,,,, Others ,,don't watch tv.,NPR,,,,,Huffington Post,,,Other,"Washington Monthly, CQ online",0,,2,2,Democrat,,,Strong,,100,50,85,100,100,100,90,open,,,Russia,heart disease,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",1,Can  ask anyone they suspect of being an illegal immigrant for their papers,1,Bill Clinton,,,10,0,5,0,1,0,5,2,38%,2%,9%,Branch B,,,,Increased,Decreased,Increased,Remained the Same,7,10,10,3,7,Democrats,,,,6,5,4,5,2,2,2,3,7
320,221750,9/11/2010 10:39,Complete,,,173.60.224.100,-117.7289,33.9473,United States,Chino Hills,CA,91709,,,,FY101598,,I agree to participate,FY101598,,23,,,start,7,3,photo,,,,Speaker of the House,Secretary of Homeland Security,President of France,,,,US Senator,Chancellor of Germany,,,,,regular,Robert Gates,Stephen Breyer,,,,,,,,,,2,6,2,6,2,6,,Slightly liberal,Wall Street Journal,,Washington Post,USA Today, Other ,Los Angeles Times,,,,NBC,,,,,,,,,CNN,,NPR,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,7,A lot,1,5,Democrat,,,Not very strong,,30,15,85,70,50,50,30,closed,Couldn't say,Don't Know,,,Don’t Know,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,5,Don't Know,Couldn't say,Couldn't say,,,,,,,,,35%,10%,40%,Branch B,,,,Increased,Decreased,Increased,Remained the Same,5,10,0,3,3,Republicans,,,,1,7,2,2,2,4,4,4,4
321,221818,9/11/2010 11:36,Complete,,,209.162.59.239,-93.3753,44.8745,United States,Minneapolis,MN,55439,,,,FY101480,,I agree to participate,FY101480,,35,,,start,9,3,nonphoto,Majority Leader Senate,President of France,Homeland Security Director,,,,,Prime Minister of Germany,Minority Leader for Republicans in Senate,,,,,,,percent,,,10,,,,,,8,,,3,7,2,3,1,4,,Slightly liberal,Wall Street Journal,NY Times,,, Other ,local newspaper,,,PBS,NBC,Other,,cnn,,,,,,,,NPR,,,,,,,,Other,NY Times online,7,A lot,4,6,Democrat,,,Strong,,60,30,70,70,50,85,30,open,,,Russia,heart disease,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",6,Can  ask anyone they suspect of being an illegal immigrant for their papers,9,Ronald Reagan,,,0,0,9,2,0,0,10,5,35%,15%,40%,Branch B,,,,Increased,Decreased,Increased,Increased,7,10,10,10,5,Don't Know,,,,5,5,4,4,4,3,2,3,5
322,221823,9/11/2010 11:41,Complete,,,80.161.19.50,12.2,56.0167,Denmark,Helsinge,3,,,,,FY101222,,I agree to participate,FY101222,,36,,,end,,,nonphoto,,President of France,,,,,,Chancellor of Germany,,,,,,Don't Know,,regular,Don't Know,Couldn't Say,,,,,,,,,,2,6,2,2,1,5,,Slightly conservative,,NY Times,Washington Post,, Other ,cnn.com,,,,,Other,,Danish TV (I live in Denmark),,,,,,CNN,,,,, Others ,Danish radio,,,,Other,Danish newspapers,0,Not at all,,9,Democrat,,,Not very strong,,80,80,80,100,100,100,50,closed,Germany,Heart Disease,,,Don’t Know,,Can escort illegal immigrants back across the border,1,Don't Know,Increases the Medicare payroll tax for upper‐income Americans,Replaces Medicare with a “public option”,,,,,,,,,20%,10%,40%,Branch B,,,,Remained the Same,Remained the Same,Increased,Increased,8,0,0,0,2,Republicans,,8,8,3,6,6,5,5,4,6,3,7
323,221867,9/11/2010 12:49,Complete,,,69.119.150.188,-73.4416,41.1271,United States,Norwalk,CT,6850,,,,FY101640,,I agree to participate,FY101640,,43,,,start,6,6,photo,,,,Senate leader Reid,Sec of Homeland Security Napolitano,President of France Sarkozy,,,,McConnell Republican Senate,Merkel PM of  Germany,,,,,regular,Robert Gates,Stephen Breyer,,,,,,,,,,3,5,1,5,3,7,,Moderate,Wall Street Journal,NY Times,Washington Post,, Other ,CSMonitor,,Fox,PBS,,Other,,"BBC, Euronews",Fox News,MSNBC,CSPAN,BBC, Others ,,Euronews,,,,,,,,,Other,Refdesk,7,A lot,4,7,Independent,,,,Closer to Republican Party,70,60,40,40,70,85,40,closed,[Erstwhile] Soviet Union,Don't Know,,,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",6,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,7,Don't Know,Does not reimburse routine mammograms for women younger than 50,Limits future increases in payments to Medicare providers,,,,,,,,,30%,1%,20%,Branch B,,,,Remained the Same,Decreased,Increased,Increased,7,10,5,7,7,Republicans,,,,4,5,5,5,3,,,,
324,221935,9/11/2010 14:06,Complete,,,86.153.228.178,-0.5333,53.2333,United Kingdom,Lincoln,H7,,,,,FY101128,,I agree to participate,FY101128,,55,,,start, dk,7,photo,,,,,,President of France,,,,,Speaker of the House of Representatives,,,,Don't Know,percent,,,0,0,0,0,,0,,,,3,6,2,5,2,6,,Moderate,,,,, Other ,Yorkshire Post (UK),,,,,Other,,BBC,,,,BBC,,,,,,, Others ,BBC Radio 4,,,,,,2,A lot,5,7,Democrat,,,Not very strong,,70,70,70,70,60,80,50,closed,[Erstwhile] Soviet Union,Breast Cancer,,,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,6,Don't Know,,,6,5,5,7,0,5,7,5,20%,10%,70%,Branch B,,,,Remained the Same,Decreased,Increased,Increased,6,0,0,2,5,Republicans,,,,5,3,7,5,5,3,3,5,5
325,221937,9/11/2010 13:51,Complete,,,168.103.255.113,-104.7405,38.8326,United States,Colorado Springs,CO,,,,,FY101542,,I agree to participate,FY101542,,19,,,start,9,0,nonphoto,Speaker of the Senate,President of France,"was governor of AZ, now in cabinet?",,,,,Prime Minister of Germany,Senator from Kentucky,,,,,,,percent,,,0,0,0,0,,,10,,,1,7,2,7,1,5,,Liberal,,NY Times,Washington Post,, Other ,,CBS,,PBS,NBC,,ABC,,,MSNBC,,BBC,,CNN,,NPR,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",Other,factcheck.org,0,A moderate amount,7,4,Other,"fiscal conservative, social liberal",,,,100,60,85,100,100,100,100,open,,,germany,heart disease,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,5,Bill Clinton,,,0,0,5,0,,0,10,,26%,10%,10%,Branch B,,,,Increased,Decreased,Increased,Increased,7,10,10,10,10,Other,"a third party backed by we, the people",,,6,2,4,4,4,3,3,4,6
326,221983,9/11/2010 14:58,Complete,,,65.101.154.83,-122.3123,47.542,United States,Seattle,WA,98108,,,,FY101792,,I agree to participate,FY101792,,29,,,end,,,photo,,,,Senator,Speaker of the House,,,,,Senator,,,Don't Know,,,percent,,,0,0,0,0,,0,0,0,0,1,7,2,6,1,5,,Very liberal,,,,, Other ,Seattle Times,,,,,,,,,,,,,,,NPR,,, Others ,BBC,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,Not at all,5,1,Democrat,,,Strong,,100,30,85,100,100,85,70,open,,,Russians (Soviet Union),Heart Attack,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,5,Don't Know,,,0,0,5,0,5,0,0,5,1%,2%,15%,Branch A,Increased,Decreased,Increased,,,,,2,10,7,10,6,Democrats,,8,0,4,2,1,1,1,1,1,3,7
327,222049,9/11/2010 16:57,Complete,,,98.197.212.71,-95.613,29.751,United States,Houston,TX,77077,,,,FY101374,,I agree to participate,FY101374,,20,,,start,8,9,photo,,,,Senator,,,,,,Congressman,Senator,,,,,regular,Robert Gates,Couldn't Say,,,,,,,,,,4,7,1,2,2,5,,Liberal,,,,, Other ,none,,,,,,ABC,,,,,, Others ,,CNN-very rarely,,,, Others ,none,,,,Other,Get many emails,7,A moderate amount,2,2,Independent,,,,Closer to Democratic Party,80,40,60,80,80,70,0,closed,Poland,Heart Disease,,,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",3,Can  ask anyone they suspect of being an illegal immigrant for their papers,3,Don't Know,Does not reimburse routine mammograms for women younger than 50,Cuts benefits to existing Medicare patients,,,,,,,,,10%,5%,25%,Branch A,Increased,Decreased,Increased,,,,,3,10,2,2,2,Don't Know,,,,2,3,3,3,2,2,2,4,7
328,222068,9/11/2010 17:08,Complete,,,76.14.52.70,-122.2405,37.4625,United States,Redwood City,CA,94061,,,,FY101486,,I agree to participate,FY101486,,34,,,start,9,1,photo,,,,Reid,Napolitano,,,,,,,,Don't Know,,Senate Minority Leader,regular,Gary Locke,Stephen Breyer,,,,,,,,,,2,7,2,6,2,6,,Liberal,,,,, Other ,SF Chronicle,CBS,,,NBC,,,,,MSNBC,,,,,,,,,,,,,,,,7,A great deal,2,3,Democrat,,,Strong,,85,30,85,85,85,85,40,open,,,Japan,cancer,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",3,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,5,Don't Know,Increases the Medicare payroll tax for upper‐income Americans,Limits future increases in payments to Medicare providers,,,,,,,,,30%,10%,15%,Branch A,Increased,Increased,Increased,,,,,6,10,10,10,10,Don't Know,,,,3,6,6,3,3,4,3,3,5
329,222076,9/11/2010 17:31,Complete,,,174.18.225.201,-110.3862,32.1924,United States,Benson,AZ,85602,,,,FY101099,,I agree to participate,FY101099,,156,,,start,8,1,nonphoto,Democratic House Leader,President of France,Homeland Security Chief,,,,,Chanceller of Germany,Republican Senate Leader,,,,,,,percent,,,10,,,,,,5,,5,2,6,2,6,2,5,,Slightly liberal,,,,, Other ,Local Paper,,,PBS,,,,,,,,BBC,,CNN,,NPR,,,,,Huffington Post,,,,,7,A lot,5,2,Democrat,,,Not very strong,,60,60,60,60,60,60,60,open,,,Soviet Union,Heart Attach,Question any person whom they suspect to be an illegal immigrant for their papers,8,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,10,George H. Bush,,,0,0,0,0,0,0,0,0,15%,10%,15%,Branch A,Increased,Decreased,Increased,,,,,5,10,7,5,9,Republicans,,,,5,6,7,4,4,3,2,4,5
348,222606,9/12/2010 11:59,Complete,,,75.147.20.147,-70.6394,41.8734,United States,Plymouth,MA,2360,,,,FY101712,,I agree to participate,FY101712,,31,,,end,,,nonphoto,Majority leader of the Senate,President of France,Homeland Security Secretary,,,,,President of Germany,Minority leader of the Senate,,,,,,,percent,,,10,,,,,,0,,0,2,7,1,7,4,7,,Liberal,,,,, Other ,local paper,CBS,,PBS,NBC,,ABC,,,MSNBC,,,,CNN,,NPR,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,5,A moderate amount,2,8,Democrat,,,Strong,,60,40,85,60,60,70,15,open,,,France,Cancer,"Ask for papers only if the person has been stopped for suspicion about some other transgression, and if they are suspected to be an illegal immigrant",2,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,7,Bill Clinton,,,0,0,0,5,0,0,8,0,30%,2%,20%,Branch A,Don't Know,Decreased,Increased,,,,,7,10,10,5,8,Don't Know,,10,2,2,3,5,5,4,2,2,4,5
