rid,rkey,date,status,contact.id,comments,ip.address,long,lat,county,city,region,postal,url,intro logic,agree,userid,user,time,page.logic1,Copy of userid,policy.placement,healthcare.law,imm.law,photo.nonphoto.pk,hr,ns,jn,hr2,jn2,ns2,page.logic,am1,mm1,mm2,am2,am11,am21,mm11,mm21,correct.or.conf,rg,sb,rg.rg,rg.ad,rg.jc,rg.ak,sb.jb,sb.sb,sb.ks,sb.tv,health.ins.y,health.ins.r,health.ins.d,illegal.y,illegal.r,illegal.d,ideology,news.wsj,news.nyt,news.wp,news.usa,news.other,news.other.s,tv.cbs,tv.fox,tv.pbs,tv.nbc,tv.other,tv.abc,tv.others,cable.fox,cable.msnbc,cable.cspan,cable.bbc,cable.other,cable.cnn,cable.others,radio.npr,radio.rl,radio.ms,radio.other,radio.others,web.huff,web.drudge,web.portal,web.other,web.other.s,tv.days,attention,talk.politics,talk.other.politics,pid1,pid.other,pid2.r,pid2.d,pid2.other,therm.b,therm.r,therm.d,therm.w,therm.h,therm.l,therm.ill,open.closed,ww2.cas,fem.death,ww2.cas2,fem.death2,deport,deport.sure,imm,imm.sure,steagall,healthcare.pk1,healthbill,death.panel,medicare,future.increase,cuts.benefits,illegal,single.payer,upper.class,mammograms,tax.100k,welfare,blk.welfare,dkencouraging.dk.discouraging,reagan,clinton,wbush,obama,reagan2,clinton2,wbush2,obama2,pol.interest,vote.2010,contribute1,contact,attend,def.party,def.other,healthcare.law2,imm.law2,structure,certain,oneside,changeview,confident,curiosity,considerate,independence,obedience,sex,year.born,educ.s,income,religion,religion2,rel.freq,hispanic,white,black,native,asian,pacific,other.race,other.race2
102,253380,9/29/2010 13:11,Complete,,,171.66.227.135,-122.172,37.4178,United States,Stanford,CA,94305,srep0112,,I agree to participate,srep0112,,32,,,start,6,3,photo,,,,Republican House Whip,Economic Advisor part of Obamas Cabinet,,,,,Democratic Party Head,Senator from back East,,,,,percent,,,10,,,,,8,,,3,5,3,4,2,4,Slightly liberal,Wall Street Journal,,,, Other ,San Jose Mercury News,CBS,,PBS,NBC,,ABC,,,MSNBC,,BBC,,,,NPR,,, Others ,"KGO, KCBS radio",,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,5,A lot,3,5,Democrat,,,Strong,,70,50,70,85,50,50,40,open,,,Japan,Heart Attacks,Remained about the same,,Can  ask anyone they suspect of being an illegal immigrant for their papers,6,Bill Clinton,,,10,10,10,10,5,8,7,8,30%,10%,17%,Branch B,,,,,Remained the Same,Increased,Increased,Increased,7,10,1,5,7,Don't Know,,,,2,5,5,4,3,2,2,3,6,Male,1951,"Bachelor's Degree, such as B.A., B.S., or A.B.","$85,000 ",Don’t belong to religious denomination,,Less often than a few times a year,No,White,,,,,,
103,253383,9/29/2010 12:59,Complete,,,171.65.100.135,-122.172,37.4178,United States,Stanford,CA,94305,srep0243,,I agree to participate,srep0243,,16,,,start,10,0,photo,,,,Senate Majority Leader,Head Department of Homeland Security,Don't know,,,,Senate Minority Leader,Don't know,,,,,regular,Robert Gates,Stephen Breyer,,,,,,,,,1,7,1,4,2,4,Liberal,,NY Times,,,,,,,PBS,,,,,,MSNBC,,,,CNN,,NPR,,,,,Huffington Post,,,,,7,A great deal,5,2,Democrat,,,Strong,,80,15,90,80,70,50,40,open,,,US,Heart disease,Increased,,Can  ask anyone they suspect of being an illegal immigrant for their papers,8,Don't Know,Does not reimburse routine mammograms for women younger than 50,Limits future increases in payments to Medicare providers,,,,,,,,,20%,10%,5%,Branch A,Increased,Decreased,Increased,Increased,,,,,8,10,8,5,5,Democrats,,,,2,3,2,3,2,4,3,3,5,Female,1963,"Bachelor's Degree, such as B.A., B.S., or A.B.",200000,Don’t belong to religious denomination,,Never,No,White,,,,,,
104,253389,9/29/2010 13:05,Complete,,,171.67.226.72,-122.172,37.4178,United States,Stanford,CA,94305,srep0241,,I agree to participate,srep0241,,15,,,start,10,0,photo,,,,Majority leader in the senate,Surgeon General,Chief of staff,,,,,,,Don't Know,,Don't Know,regular,Robert Gates,Stephen Breyer,,,,,,,,,1,7,2,6,2,6,Liberal,,NY Times,,, Other ,local print paper ,,,PBS,,,ABC,,,,,,,,,NPR,,,,,Huffington Post,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,2,A lot,2,3,Democrat,,,Strong,,80,35,80,80,70,85,85,closed,[Erstwhile] Soviet Union,Breast Cancer,,,Remained about the same,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,9,Don't Know,Couldn't say,Couldn't say,,,,,,,,,35%,5%,15%,Branch A,Increased,Decreased,Increased,Increased,,,,,5,10,10,10,8,Democrats,,,,4,4,3,5,2,2,2,2,7,Female,1961,"Master's Degree, such as M.A., M.S., Masters in Engineering, Masters in Education, or Masters in Social Work",300,Jewish,,Never,No,White,,,,,,
108,253526,9/29/2010 13:50,Complete,,,171.64.242.54,-122.172,37.4178,United States,Stanford,CA,94305,srep0367,,I agree to participate,srep0367,,5,,,end,,,nonphoto,,,,,,,,,,,,Chancellor of Germany,,Senate Minority Leader,,percent,,,0,0,0,0,0,0,0,0,4,6,1,4,2,6,Moderate,,NY Times,,,,,,,,NBC,,ABC,,,,,,,CNN,,,,,,,,,,,,5,A moderate amount,1,5,Democrat,,,Not very strong,,75,60,75,75,75,75,45,open,,,,heart disease,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,7,Don't Know,,,,,,,,,,,,,,Branch A,,,,,,,,,2,9,0,2,2,Don't Know,,6,1,4,5,6,4,2,5,4,3,6,Female,1972,"Bachelor's Degree, such as B.A., B.S., or A.B.",65000,Other,Buddhist,A few times a year,No,,,,Asian,,,
109,253527,9/29/2010 13:49,Complete,,,171.65.91.103,-122.172,37.4178,United States,Stanford,CA,94305,srep0190,,I agree to participate,srep0190,,14,,,end,,,photo,,,,,,,,,,,,,Don't Know,,Don't Know,percent,,,,,,,,,,,1,7,2,5,3,4,Slightly liberal,,NY Times,,,,,,,,,,,,,MSNBC,,,,CNN,,NPR,,,,,,,,,,0,A moderate amount,1,3,Democrat,,,Not very strong,,85,30,85,85,70,70,70,closed,Poland,Heart Disease,,,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,7,Don't Know,,,,0,,0,0,0,,0,,,,Branch B,,,,,Don't Know,Decreased,Increased,Increased,5,8,3,5,5,Democrats,,8,1,4,5,7,,,6,5,5,7,Female,1950,"Bachelor's Degree, such as B.A., B.S., or A.B.",,Jewish,,Never,No,White,,,,,,
110,253529,9/29/2010 14:26,Complete,,,171.64.102.176,-122.172,37.4178,United States,Stanford,CA,94305,srep0235,,I agree to participate,srep0235,,30,,,end,,,nonphoto,majority leader of the House of Representatives,President of France,head of Homeland Security,,,,,President of Germany,minority leader of the House of Representatives,,,,,,,regular,Don't Know,Couldn't Say,,,,,,,,,1,6,1,6,1,5,Very liberal,,,,,,,,,PBS,NBC,,ABC,,,MSNBC,,BBC,,CNN,,NPR,,,,,,,,,,5,A great deal,0,5,Democrat,,,Strong,,85,15,85,85,85,85,75,open,,,Russia,heart disease,Increased,,Can  ask anyone they suspect of being an illegal immigrant for their papers,10,Ronald Reagan,Increases the Medicare payroll tax for upper‐income Americans,Limits future increases in payments to Medicare providers,,,,,,,,,35%,7%,12%,Branch B,,,,,Increased,Decreased,Increased,Decreased,7,10,2,8,5,Democrats,,10,0,2,4,2,4,2,4,4,4,4,Female,1963,"Bachelor's Degree, such as B.A., B.S., or A.B.","50,000",Don’t belong to religious denomination,,Never,No,White,,,,,,
111,253646,9/29/2010 14:26,Complete,,,171.64.167.74,-122.172,37.4178,United States,Stanford,CA,94305,srep0240,,I agree to participate,srep0240,,22,,,end,,,nonphoto,senator,united nations member,member of Obamas cabinet,,,,,united nations,senator,,,,,,,regular,Gary Locke,Couldn't Say,,,,,,,,,3,7,2,6,2,5,Slightly liberal,,,,USA Today, Other ,"SF Chronicle, Sacramento Bee, LA Times",,Fox,,NBC,,ABC,,,,,,,CNN,,,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,2,A moderate amount,2,6,Democrat,,,Strong,,100,40,80,100,100,100,90,open,,,Soviet Union,Cancer,Remained about the same,,Can  ask anyone they suspect of being an illegal immigrant for their papers,8,George W. Bush,Couldn't say,Couldn't say,,,,,,,,,36%,1%,15%,Branch A,Increased,Decreased,Increased,Remained the Same,,,,,6,10,0,4,6,Democrats,,7,0,4,5,5,3,4,5,6,6,3,Female,1975,"Bachelor's Degree, such as B.A., B.S., or A.B.","150,000",Catholic,,A few times a year,Yes,,,,,,Other,Basque
112,253656,9/29/2010 14:49,Complete,,,171.64.228.73,-122.172,37.4178,United States,Stanford,CA,94305,srep0398,,I agree to participate,srep0398,,29,,,start,2,2,nonphoto,US Congress leader,France Prime Minister,don't know,,,,,German Chancellor,US Senator,,,,,,,regular,Robert Gates,Stephen Breyer,,,,,,,,,6,7,2,7,2,6,Conservative,Wall Street Journal,,,, Other ,San Jose Mercury or SF Chronicles or Local paper,CBS,Fox,PBS,NBC,Other,ABC,native language tv station,Fox News,MSNBC,,BBC,,CNN,,,,, Others ,Wallstreet Podcast,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",Other,blogs & podcasts,6,A lot,2,7,Republican,,Strong,,,,,,,,,,closed,Germany,Don't Know,,,Remained about the same,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,9,George W. Bush,Increases the Medicare payroll tax for upper‐income Americans,Allows a government panel to make decisions about end‐of‐life care for people on Medicare,,,,,,,,,25%,8%,10%,Branch A,Remained the Same,Decreased,Remained the Same,Increased,,,,,8,10,0,2,5,Don't Know,,,,5,3,4,4,3,4,3,5,5,Male,,"Master's Degree, such as M.A., M.S., Masters in Engineering, Masters in Education, or Masters in Social Work",,Catholic,,Once a week,No,,,,Asian,,,
113,253665,9/29/2010 14:46,Complete,,,171.65.107.126,-122.172,37.4178,United States,Stanford,CA,94305,srep0331,,I agree to participate,srep0331,,33,,,end,,,photo,,,,senate majority leader,,presidents chief of staff,,,,,senator,,,,Don't Know,regular,Robert Gates,Couldn't Say,,,,,,,,,1,6,2,6,2,5,Liberal,,NY Times,,,,,,,PBS,,,,,,,,,,,,NPR,,,,,Huffington Post,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,1,A moderate amount,2,3,Democrat,,,Strong,,85,40,85,85,85,60,60,closed,[Erstwhile] Soviet Union,Heart Disease,,,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,7,Ronald Reagan,Increases the Medicare payroll tax for upper‐income Americans,Limits future increases in payments to Medicare providers,,,,,,,,,35%,1%,5%,Branch B,,,,,Increased,Decreased,Increased,Remained the Same,5,9,5,8,2,Don't Know,,10,0,3,4,5,5,3,2,2,4,6,Female,1977,"Bachelor's Degree, such as B.A., B.S., or A.B.",150000,Protestant,,A few times a year,No,White,,,,,,
114,253666,9/29/2010 14:39,Complete,,,171.64.211.104,-122.172,37.4178,United States,Stanford,CA,94305,srep0405,,I agree to participate,srep0405,,12,,,start,10,0,nonphoto,Senate Majority Leader,President of France,Secretary of Homeland Security,,,,,Chancellor of Germany,Republican Leader of the Senate,,,,,,,regular,Robert Gates,Stephen Breyer,,,,,,,,,2,7,2,4,1,4,Liberal,Wall Street Journal,NY Times,Washington Post,, Other ,San Francisco Chronicle,,,PBS,,,,,,,,,,,,NPR,,,,,Huffington Post,,,,,0,A lot,4,4,Democrat,,,Not very strong,,100,15,40,100,100,100,100,closed,[Erstwhile] Soviet Union,Don't Know,,,Remained about the same,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,8,Bill Clinton,Couldn't say,Couldn't say,,,,,,,,,28%,3%,15%,Branch A,Increased,Decreased,Increased,Increased,,,,,7,10,10,10,10,Democrats,,,,2,6,4,3,5,3,4,3,6,Female,1958,"Professional School Degree, such as M.D., D.D.S., or D.V.M.","250,000",Protestant,,Never,No,White,,,,,,
115,253670,9/29/2010 14:56,Complete,,,171.65.122.82,-122.172,37.4178,United States,Stanford,CA,94305,srep0170,,I agree to participate,srep0170,,12,,,start,8,5,nonphoto,finance officer,,,,,,,,,,,Don't Know,,Don't Know,,regular,Don't Know,Couldn't Say,,,,,,,,,1,7,1,3,1,5,Liberal,,,,, Other ,online,,,PBS,,,,,,,,,,CNN,,,,,,,Huffington Post,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,A little,1,5,Democrat,,,Strong,,50,30,70,50,50,70,50,open,,,Japan,Heart Disease,Don’t Know,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,7,George H. Bush,Increases the Medicare payroll tax for upper‐income Americans,Replaces Medicare with a “public option”,,,,,,,,,15%,8%,20%,Branch A,Increased,Decreased,Increased,Increased,,,,,5,10,5,5,5,Don't Know,,,,5,4,5,3,3,2,2,2,6,Female,1984,"Master's Degree, such as M.A., M.S., Masters in Engineering, Masters in Education, or Masters in Social Work","62,000.00",Don’t belong to religious denomination,,Never,No,White,,,,,,
116,253675,9/29/2010 14:56,Complete,,,134.79.33.204,-122.1313,37.4135,United States,Palo Alto,CA,94306,srep0300,,I agree to participate,srep0300,,21,,,end,,,photo,,,,House Majority Leader Harry Reid,Janet..Director of Homeland Security,President of France,,,,A Republican ,??? She looks familiar...,,,,,percent,,,7,7,0,0,0,0,0,0,2,6,1,4,1,5,Liberal,,,,, Other ,My local daily newspaper. San Mateo Times,,,,,,ABC,,,,,,,CNN,,,,, Others ,CNN on XM Radio,,,,Other,ABC News.com,4,A lot,4,1,Democrat,,,Strong,,70,20,80,70,70,70,10,closed,Couldn't say,Heart Disease,,,Increased,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,9,Don't Know,,,2,2,5,3,2,2,5,5,34%,5%,8%,Branch A,Remained the Same,Decreased,Increased,Remained the Same,,,,,8,10,7,0,5,Democrats,,9,0,2,6,3,3,2,4,2,2,4,Female,1967,"Master's Degree, such as M.A., M.S., Masters in Engineering, Masters in Education, or Masters in Social Work",170000,Catholic,,Once or twice a month,No,,Black or African American,,,,,
117,253727,9/29/2010 15:25,Complete,,,71.146.132.248,-122.2761,37.9927,United States,Pinole,CA,94564,srep0322,,I agree to participate,srep0322,,20,,,start,3,10,photo,,,,unknown,unknown,unknown,,,,chief of staff,senator,,,,,regular,Anthony Kennedy,Couldn't Say,,,,,,,,,7,6,1,1,3,7,Slightly conservative,,,,, Other ,San Jose Merc,CBS,,,,,ABC,,,,,BBC,,CNN,,NPR,,, Others ,BBC,,,,Other,CNN,1,A moderate amount,5,4,Independent,,,,Closer to Republican Party,85,85,70,85,85,85,30,closed,[Erstwhile] Soviet Union,Heart Disease,,,Don’t Know,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,8,George W. Bush,Couldn't say,Couldn't say,,,,,,,,,35%,10%,9%,Branch B,,,,,Decreased,Increased,Increased,Increased,6,9,2,7,7,Other,bipartisan support is needed; neither can do it on their own agenda,,,3,3,5,4,3,3,1,3,4,Female,1983,"Master's Degree, such as M.A., M.S., Masters in Engineering, Masters in Education, or Masters in Social Work",70K,Protestant,,Once or twice a month,No,White,,,,,,
118,253738,9/29/2010 15:34,Complete,,,171.64.202.89,-122.172,37.4178,United States,Stanford,CA,94305,srep0200,,I agree to participate,srep0200,,12,,,end,,,nonphoto,Senate Majority Leader,President of France,Attorney general?,,,,,Chancellor of Germany,Republican senator,,,,,,,percent,,,4,,,,,10,,,1,7,2,5,2,4,Very liberal,Wall Street Journal,NY Times,Washington Post,,,,,,,NBC,,,,,,,,,,,NPR,,,,,,,,,,1,A moderate amount,2,4,Democrat,,,Not very strong,,75,25,60,75,75,75,75,closed,[Erstwhile] Soviet Union,Heart Disease,,,Remained about the same,,Can  ask anyone they suspect of being an illegal immigrant for their papers,5,Don't Know,,,0,7,5,1,5,3,6,0,25%,5%,10%,Branch A,Increased,Decreased,Increased,Remained the Same,,,,,2,9,0,0,1,Don't Know,,8,0,2,6,5,2,1,3,3,3,5,Female,1973,"Master's Degree, such as M.A., M.S., Masters in Engineering, Masters in Education, or Masters in Social Work",75000,Don’t belong to religious denomination,,Never,No,,,,Asian,,,
120,253804,9/29/2010 16:58,Complete,,,171.64.194.198,-122.172,37.4178,United States,Stanford,CA,94305,srep0357,,I agree to participate,srep0357,,37,,,start,6,1,nonphoto,senator,president of france,,,,,,chancellor of germany,senator,,,,,,,percent,,,5,0,0,0,0,0,0,0,1,7,3,6,2,3,Liberal,,NY Times,Washington Post,,,,,,,,,,,,,,,,,,NPR,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,0,A little,2,3,Democrat,,,Not very strong,,,,,,,,,closed,[Erstwhile] Soviet Union,Heart Disease,,,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,7,Ronald Reagan,,,0,0,5,0,0,0,5,5,35%,5%,35%,Branch A,Increased,Decreased,Increased,Increased,,,,,7,10,2,5,5,Democrats,,,,4,4,7,4,4,3,2,2,4,Male,1970,"Master's Degree, such as M.A., M.S., Masters in Engineering, Masters in Education, or Masters in Social Work",200000,Don’t belong to religious denomination,,Never,No,White,,,,,,
121,253811,9/29/2010 17:10,Complete,,,171.65.60.172,-122.172,37.4178,United States,Stanford,CA,94305,srep0218,,I agree to participate,srep0218,,15,,,end,,,nonphoto,US Senator,President of France,Secretary of Homeland Security,,,,,President of Germany,US Congressman - Minority Whip,,,,,,,percent,,,9,,,,,10,,,2,5,3,5,2,4,Liberal,,,,, Other ,,,,PBS,NBC,,,,,,,,,CNN,,NPR,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",Other,NPR,0,A moderate amount,1,4,Independent,,,,Closer to Democratic Party,100,45,65,100,100,100,45,open,,,Japan,heart disease,Remained about the same,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,10,Don't Know,,,0,0,0,0,0,0,0,0,33%,15%,35%,Branch A,Increased,Decreased,Increased,Increased,,,,,7,9,2,6,8,Don't Know,,9,0,3,2,6,5,3,1,1,2,7,Female,1972,"Bachelor's Degree, such as B.A., B.S., or A.B.","100,000",Don’t belong to religious denomination,,Less often than a few times a year,No,,,,Asian,,,
138,255614,9/30/2010 20:03,Complete,,,171.66.80.42,-122.172,37.4178,United States,Stanford,CA,94305,f.a.stan,,I agree to participate,f.a.stan,,12,,,start,7,0,nonphoto,Senator,President of France,Secretary DHS,,,,,Chancellor of Germany,Senator,,,,,,,percent,,,8,0,0,0,0,0,0,0,2,7,1,7,2,6,Liberal,,NY Times,,, Other ,BBC,,,,,,,,,,,,,,,,,,,,,,,,,0,A lot,1,3,Democrat,,,Strong,,100,100,100,100,100,100,100,open,,,Russia,Heart disease,Remained about the same,,Can  ask anyone they suspect of being an illegal immigrant for their papers,7,Don't Know,,,2,0,3,2,3,0,3,2,38%,1%,20%,Branch A,Decreased,Decreased,Increased,Increased,,,,,6,10,0,5,2,Republicans,,,,3,5,6,3,3,5,3,4,5,Male,1989,Some College But No Degree,"300,000",Don’t belong to religious denomination,,Never,No,White,,,,,,
137,255564,9/30/2010 19:42,Complete,,,171.64.238.65,-122.172,37.4178,United States,Stanford,CA,94305,srep0397,,I agree to participate,srep0397,,37,,,start,10,0,photo,,,,"Harry Reid- Senator from Nevada, Majority Leader",Janet Napalatano - She is in Obama's cabinet. I can't remember he position.,"Timothy Geitner, Treasury Secretary",,,,"Mitch McConnell, Senate Minority Leader from Kentucky",Sharon Angle- Republican Senate Candidate from Nevada,,,,,regular,Gary Locke,Ken Salazar,,,,,,,,,2,7,3,6,2,6,Liberal,,,,USA Today, Other ,San Jose Mercury News,CBS,Fox,,NBC,,ABC,,,MSNBC,CSPAN,,,CNN,,NPR,,, Others ,Various California AM stations,Huffington Post,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",Other,"CNN, Yahoo",6,A great deal,5,4,Democrat,,,Strong,,90,5,85,90,90,90,90,closed,Germany,Heart Disease,,,Remained about the same,,Can  ask anyone they suspect of being an illegal immigrant for their papers,7,Bill Clinton,Increases the Medicare payroll tax for upper‐income Americans,Limits future increases in payments to Medicare providers,,,,,,,,,33%,0.05%,15%,Branch A,Increased,Decreased,Increased,Increased,,,,,10,10,10,9,9,Democrats,,,,3,3,4,3,2,3,3,4,5,Male,1976,"Master's Degree, such as M.A., M.S., Masters in Engineering, Masters in Education, or Masters in Social Work","70,000",Don’t belong to religious denomination,,Never,No,White,,,,,,
126,254101,9/29/2010 19:05,Complete,,,171.65.164.26,-122.172,37.4178,United States,Stanford,CA,94305,srep0177,,I agree to participate,srep0177,,16,,,end,,,nonphoto,Senator,French President,Homeland Security,,,,,,Super of Schools,,,Chancellor of Germany,,,,regular,Don't Know,Couldn't Say,,,,,,,,,1,7,4,7,1,5,Very liberal,Wall Street Journal,NY Times,,USA Today,,,CBS,,PBS,NBC,,ABC,,,MSNBC,,,,CNN,,,,,,,,,,Other,AP,7,A moderate amount,1,5,Democrat,,,Strong,,100,75,100,100,100,100,100,closed,Germany,Heart Disease,,,Remained about the same,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,5,Ronald Reagan,Couldn't say,Couldn't say,,,,,,,,,20%,8%,3%,Branch B,,,,,Remained the Same,Remained the Same,Decreased,Increased,8,10,5,0,5,Democrats,,10,0,4,4,4,4,4,3,2,4,5,Female,1952,"Bachelor's Degree, such as B.A., B.S., or A.B.","200,000",Catholic,,Once or twice a month,No,White,,,,,,
128,254228,9/30/2010 0:36,Complete,,,68.65.161.117,-122.172,37.4178,United States,Stanford,CA,94305,srep0100,,I agree to participate,srep0100,,17,,,end,,,nonphoto,senate majority leader,french president,interior dept secretary,,,,,german chancellor,minority leader in house of reps,,,,,,,percent,,,10,,,,,10,,,1,6,3,7,I haven't thought much about this,I haven't thought much about this,Liberal,,NY Times,,, Other ,foreign,,,,,,,,,,,,,,,NPR,,,,,,,,,,1,A great deal,1,5,Democrat,,,Not very strong,,50,20,75,50,50,50,50,open,,,USSR,not sure. some kind of cancer?,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,9,Bill Clinton,,,0,0,7,7,0,0,3,5,30%,25%,20%,Branch A,Increased,Decreased,Increased,Increased,,,,,9,10,0,5,8,Don't Know,,8,0,2,5,3,5,6,2,4,2,6,Male,1960,"Doctorate Degree, such as Ph.D., Ed.D.","95,000",Catholic,,Never,No,White,,,,,,
129,254248,9/30/2010 1:56,Complete,,,99.127.227.34,-97,38,United States,,,,srep0334,,I agree to participate,srep0334,,16,,,start, dk, dk,photo,,,,,,,,,,,,,Chancellor of Germany,,Secretary of Agriculture,regular,Don't Know,Couldn't Say,,,,,,,,,1,6,4,7,1,4,Liberal,,,,,,,,,,,,,,,,,,,,,NPR,,,,,,,,Other,"reddit.com, boingboing.com, factcheck.org",0,A great deal,1,5,Other,Green,,,,,15,65,,,100,70,open,,,Russia,cancer,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,6,Ronald Reagan,Couldn't say,Couldn't say,,,,,,,,,17%,5%,5%,Branch A,Increased,Decreased,Increased,Decreased,,,,,1,10,6,8,7,Democrats,,,,3,2,7,6,6,2,4,2,6,Male,1976,Some College But No Degree,"76,000",Other,Atheist,Never,No,White,,,,,,
130,254758,9/30/2010 12:59,Complete,,,171.64.118.18,-122.172,37.4178,United States,Stanford,CA,94305,srep0376,,I agree to participate,srep0376,,25,,,start,10,10,nonphoto,Senator,French president,Homeland security chief,,,,,German chancellor,Middle East convoy,,,,,,,regular,Robert Gates,Couldn't Say,,,,,,,,,1,7,1,4,1,7,Slightly conservative,,,,, Other ,Local papers,CBS,Fox,PBS,NBC,Other,ABC,Chinese channels,,,,,,,,NPR,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,7,A great deal,2,3,Independent,,,,Closer to Democratic Party,40,15,60,60,50,100,40,closed,[Erstwhile] Soviet Union,Don't Know,,,Don’t Know,,Can ask people they suspect of being illegal immigrants for their papers only when stopping them for other reasons.,9,Don't Know,Couldn't say,Replaces Medicare with a “public option”,,,,,,,,,45%,10%,30%,Branch A,Don't Know,Decreased,Increased,Increased,,,,,7,10,5,0,10,Don't Know,,,,3,7,3,3,3,5,4,4,5,Female,1956,"Master's Degree, such as M.A., M.S., Masters in Engineering, Masters in Education, or Masters in Social Work","150,000.00",Protestant,,More than once a week,No,,,,Asian,,Other,
131,254763,9/30/2010 12:42,Complete,,,171.65.95.11,-122.172,37.4178,United States,Stanford,CA,94305,srep0342,,I agree to participate,srep0342,,11,,,end,,,photo,,,,Government Official,Government Official,President of France,,,,Government Official,Candidate for governmental office,,,,,regular,Don't Know,Stephen Breyer,,,,,,,,,2,6,2,7,2,6,Liberal,,NY Times,,,,,,,PBS,,,,,,,,,,CNN,,NPR,,,,,Huffington Post,,,,,1,A lot,3,2,Democrat,,,Strong,,100,15,85,100,100,100,85,open,,,Russia,heart disease,Remained about the same,,Can  ask anyone they suspect of being an illegal immigrant for their papers,6,Ronald Reagan,Couldn't say,Couldn't say,,,,,,,,,20%,0%,0%,Branch A,Increased,Decreased,Increased,Increased,,,,,6,10,5,5,6,Don't Know,,6,0,3,5,4,2,2,3,3,3,5,Female,1958,"Bachelor's Degree, such as B.A., B.S., or A.B.","120,000",Jewish,,Never,No,White,,,,,,
132,254786,9/30/2010 13:26,Complete,,,171.67.135.76,-122.172,37.4178,United States,Stanford,CA,94305,srep0231,,I agree to participate,srep0231,,22,,,start,5,10,photo,,,,,,,,,,,Senator,,,,Senate Minority Leader,regular,Robert Gates,Stephen Breyer,,,,,,,,,1,6,3,1,I haven't thought much about this,I haven't thought much about this,Slightly liberal,Wall Street Journal,NY Times,Washington Post,USA Today, Other ,Local Newspapers,CBS,Fox,PBS,NBC,,ABC,,Fox News,MSNBC,,BBC,,CNN,,NPR,Rush Limbaugh,Michael Savage,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,7,A moderate amount,3,5,Democrat,,,Not very strong,,100,60,80,100,100,100,10,closed,[Erstwhile] Soviet Union,Heart Disease,,,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,5,Don't Know,,Couldn't say,,,,,,,,,25%,20%,42%,Branch B,,,,,Remained the Same,Decreased,Increased,Increased,5,8,5,9,9,Democrats,,,,3,4,5,4,2,4,3,4,5,Female,1961,"Master's Degree, such as M.A., M.S., Masters in Engineering, Masters in Education, or Masters in Social Work",150000,Other,Hindu,Once or twice a month,No,,,,Asian,,,
133,254802,9/30/2010 13:27,Complete,,,171.67.132.38,-122.172,37.4178,United States,Stanford,CA,94305,srep0375,,I agree to participate,srep0375,,24,,,end,,,nonphoto,,,,,,,,,,,,Don't Know,,Don't Know,,percent,,,0,0,0,0,0,0,0,0,5,I haven't thought much about this,I haven't thought much about this,1,I haven't thought much about this,I haven't thought much about this,Slightly conservative,,,,, Other ,palo alto daily news,,,,,Other,,ktsf,,,,, Others ,,worldjouranl,,,,,,,,"Online Portal like Google News, AOL or Topix that gathers news from many different sources",,,1,A moderate amount,1,1,Independent,,,,Equally close to both,30,50,50,50,40,60,20,closed,Couldn't say,Don't Know,,,Don’t Know,,Can  ask anyone they suspect of being an illegal immigrant for their papers,4,Don't Know,,,3,2,8,0,0,0,5,0,15%,10%,65%,Branch B,,,,,Decreased,Decreased,Increased,Increased,2,10,0,0,1,Don't Know,,4,7,3,5,5,5,3,5,5,5,5,Female,1956,"Master's Degree, such as M.A., M.S., Masters in Engineering, Masters in Education, or Masters in Social Work",40000,Don’t belong to religious denomination,,Never,No,,,,Asian,,,
